duration,src_bytes,dst_bytes,count,srv_count
0.100000,0.100054,0.101792,0.100002,0.100002
0.100000,0.100000,0.100000,0.100057,0.100004
0.100000,0.100000,0.100000,0.100039,0.100005
0.100000,0.100076,0.101756,0.100001,0.100001
0.100000,0.100000,0.100000,0.100032,0.100001
0.100000,0.100055,0.100210,0.100004,0.100004
0.100000,0.100012,0.100034,0.100017,0.100074
0.100000,0.100000,0.100000,0.100070,0.100005
0.100000,0.100000,0.100000,0.100057,0.100003
0.100000,0.100008,0.100000,0.100001,0.100001
0.100000,0.100089,0.101169,0.100001,0.100001
0.100000,0.100000,0.100000,0.100060,0.100003
0.100000,0.100082,0.100885,0.100001,0.100002
0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.100000,0.100000,0.100059,0.100001
0.100000,0.100055,0.100210,0.100004,0.100004
0.100000,0.100000,0.100000,0.100044,0.100002
0.100000,0.100000,0.100000,0.100003,0.100003
0.100000,0.100000,0.100000,0.100032,0.100002
0.100000,0.100172,0.100000,0.100001,0.100001
0.100000,0.100276,0.100000,0.100003,0.100003
0.100000,0.100012,0.100037,0.100020,0.100041
0.100000,0.100000,0.100000,0.100066,0.100005
0.100000,0.100012,0.100022,0.100038,0.100038
0.100000,0.100012,0.100037,0.100020,0.100041
0.100000,0.100074,0.101934,0.100001,0.100001
0.100000,0.100103,0.100000,0.100001,0.100001
0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.100012,0.100018,0.100038,0.100038
0.100000,0.100302,0.100088,0.100000,0.100000
0.100000,0.100000,0.100000,0.100039,0.100004
0.100000,0.100012,0.100012,0.100040,0.100061
0.100000,0.100098,0.101590,0.100004,0.100005
0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.100062,0.100460,0.100001,0.100004
0.100000,0.100064,0.104343,0.100002,0.100002
0.100000,0.101275,0.100000,0.100003,0.100000
0.100924,0.100357,0.100043,0.100000,0.100000
0.100000,0.100060,0.100654,0.100005,0.100005
0.100000,0.100060,0.100696,0.100001,0.100002
0.100000,0.100000,0.100000,0.100045,0.100006
0.100000,0.100085,0.102525,0.100005,0.100005
0.100000,0.100012,0.100018,0.100040,0.100040
0.100000,0.100074,0.100602,0.100001,0.100001
0.100000,0.100922,0.100088,0.100000,0.100000
0.100000,0.100056,0.100098,0.100001,0.100001
0.100000,0.100002,0.100000,0.100000,0.100011
0.100000,0.100000,0.100000,0.100031,0.100002
0.100000,0.100055,0.100217,0.100006,0.100012
0.100000,0.100083,0.100082,0.100000,0.100000
0.100023,0.100317,0.100099,0.100000,0.100001
0.100000,0.100000,0.100000,0.100003,0.100000
0.100000,0.100000,0.100000,0.100067,0.100006
0.100000,0.100012,0.100020,0.100068,0.100068
0.100000,0.100000,0.100000,0.100036,0.100002
0.100000,0.100011,0.100011,0.100001,0.100001
0.100000,0.100060,0.100854,0.100001,0.100002
0.100000,0.101926,0.100000,0.100002,0.100002
0.100000,0.100000,0.100000,0.100002,0.100002
0.100000,0.100000,0.100000,0.100070,0.100005
0.100000,0.114598,0.102225,0.100001,0.100001
0.100000,0.100077,0.100125,0.100005,0.100010
0.100000,0.100002,0.100000,0.100000,0.100002
0.100000,0.100000,0.100000,0.100096,0.100000
0.100000,0.100274,0.100089,0.100000,0.100000
0.100000,0.100056,0.100482,0.100003,0.100003
0.100000,0.100202,0.100088,0.100000,0.100000
